SecurityId;SentTimestamp;ExecutedTimestamp;ExecPrice;Qty;Side;Type
FutureA;1544198654417489606;1544198654457489606;10826.500000;1.000000;BUY;Market
FutureB;1544198749663552899;1544198749664552899;10813.000000;1.000000;BUY;Market
FutureA;1544198749663552899;1544198749703552899;10812.000000;1.000000;SELL;Market
FutureB;1544198752335372224;1544198752336372224;10813.000000;1.000000;SELL;Market
FutureA;1544198752335372224;1544198752375372224;10812.500000;1.000000;BUY;Market
FutureB;1544198765026523399;1544198765027523399;10819.000000;1.000000;BUY;Market
FutureA;1544198765026523399;1544198765066523399;10817.500000;1.000000;SELL;Market
FutureB;1544199102864863943;1544199102865863943;10823.000000;1.000000;BUY;Market
FutureA;1544199102864863943;1544199102904863943;10821.500000;1.000000;SELL;Market
FutureB;1544199833529059141;1544199833530059141;10806.000000;1.000000;SELL;Market
FutureA;1544199833529059141;1544199833569059141;10806.500000;1.000000;BUY;Market
FutureA;1544199884084283850;1544199884124283850;10813.500000;1.000000;BUY;Market
FutureB;1544199884084283850;1544199884085283850;10812.000000;1.000000;SELL;Market
FutureB;1544199957640697215;1544199957641697215;10812.000000;1.000000;BUY;Market
FutureA;1544199957640697215;1544199957680697215;10811.000000;1.000000;SELL;Market
FutureB;1544200137069372159;1544200137070372159;10816.000000;1.000000;SELL;Market
FutureA;1544200137069372159;1544200137109372159;10817.500000;1.000000;BUY;Market
FutureB;1544200199087515990;1544200199088515990;10813.000000;1.000000;BUY;Market
FutureA;1544200199087515990;1544200199127515990;10810.000000;1.000000;SELL;Market
FutureB;1544200199695808181;1544200199696808181;10814.000000;1.000000;SELL;Market
FutureA;1544200199695808181;1544200199735808181;10814.500000;1.000000;BUY;Market
FutureB;1544200200064767749;1544200200065767749;10812.000000;1.000000;BUY;Market
FutureA;1544200200064767749;1544200200104767749;10811.000000;1.000000;SELL;Market
FutureB;1544200201536996709;1544200201537996709;10810.000000;1.000000;BUY;Market
FutureA;1544200201536996709;1544200201576996709;10808.000000;1.000000;SELL;Market
FutureB;1544200201615298387;1544200201616298387;10808.500000;1.000000;SELL;StopLoss
FutureA;1544200201615298387;1544200201655298387;10808.500000;1.000000;BUY;StopLoss
